ID,Display name,Ox,Oy
64690,9,537467.6,169190.1
63436,9,539557.5,166908.1
60950,9,541417.3,168494.9
60726,9,543501.4,165340.7
58858,9,546293.1,167095.9
58747,9,546604.9,166687.5
58318,9,546275.3,167100.9
58081,9,546276.6,167100.5
57486,9,546241.1,167110.5
57222,9,543446.2,165345.8
57138,9,546290.8,167096.6
57137,9,546265.8,167103.5
57058,9,546918.3,167358.4
56959,9,545478.2,164031.4
56908,9,546889.4,167310.7
55116,9,542174.7,159165.4
54994,9,546194.7,167123.2
54210,9,546168.5,167130.8
53300,9,546224.3,167115.1
53290,9,540601.9,170611.5
52928,9,546186.8,167125.4
52642,9,547258.0,167499.6
49453,9,546982.6,168130.6
48367,9,547018.9,169936.2
44291,9,547305.9,167527.5
41382,9,545685.3,164703.2
41126,9,547453.0,168181.5
40968,9,541961.8,167514.0
33629,9,547424.5,168184.1
27415,9,547392.5,168575.3
24414,9,545468.0,166950.5
20158,9,544842.7,165718.8
64483,8,539682.5,170277.0
64391,8,537521.3,168905.3
64020,8,537758.3,168680.9
63113,8,540782.3,166186.7
61473,8,537832.9,168754.7
61074,8,536281.5,170025.9
60739,8,536362.5,170377.9
60400,8,534856.7,169485.7
60022,8,536532.2,169673.4
59747,8,541718.9,164353.4
59604,8,537591.5,168979.5
59584,8,540781.9,166195.9
58105,8,541684.4,164054.0
55918,8,540927.2,164962.2
55325,8,536366.7,170007.1
55022,8,540161.4,169094.0
54640,8,536288.2,170015.7
54201,8,540539.3,170662.2
53562,8,540022.5,169162.9
53218,8,536291.2,170008.6
53108,8,542356.7,165258.7
53056,8,547206.9,165023.1
49879,8,546074.4,165499.5
48678,8,534484.7,169340.9
20647,8,543139.0,168493.6
17842,8,543403.1,168811.4
65505,7,537626.1,168706.1
65472,7,539359.6,168033.4
65403,7,545707.1,167130.8
64983,7,540260.6,166292.1
64475,7,548232.2,165013.8
64460,7,534425.3,171091.1
64072,7,545430.3,171122.0
64058,7,546616.8,164829.5
63904,7,539370.1,167969.1
63634,7,542085.1,171855.8
63623,7,534009.8,171136.4
63439,7,539706.6,166964.3
63416,7,540451.3,165148.0
63403,7,540656.6,165227.3
63084,7,537551.5,168058.6
62986,7,540279.9,165224.8
62896,7,546568.9,164824.6
62703,7,543919.3,163950.4
62554,7,542014.3,172042.1
62507,7,537925.5,166431.0
62396,7,534628.5,170962.1
62268,7,540317.5,165349.6
62044,7,537584.0,168115.2
61944,7,543357.0,171118.3
61893,7,543149.1,167320.6
61648,7,539364.9,167988.9
61547,7,539317.2,168010.5
61409,7,534287.1,171028.0
61252,7,541267.2,167639.0
61178,7,540084.3,165428.4
61177,7,540014.1,165437.0
61167,7,540290.8,165328.4
61066,7,543791.1,165078.3
61056,7,543125.9,167264.5
60867,7,539241.3,168138.3
60866,7,539218.6,168167.7
60817,7,543572.4,165121.1
60381,7,543072.7,167266.0
60287,7,540757.8,166147.5
60118,7,543555.0,165120.2
60062,7,541157.2,165413.2
59983,7,542720.0,165332.2
59673,7,537791.1,168283.4
59361,7,539237.8,168142.8
59359,7,539220.8,168196.5
59156,7,546552.9,166566.2
59136,7,540060.1,169000.5
58986,7,544325.3,165084.9
58285,7,540172.4,169193.4
58238,7,537528.9,167940.2
58108,7,541778.3,164397.0
58058,7,537365.2,168068.1
57935,7,536880.4,169081.2
57843,7,543512.3,165272.0
57548,7,540861.9,171083.3
57193,7,540659.5,165565.5
56823,7,543748.6,165030.6
56573,7,542105.6,159222.8
56527,7,544237.7,168470.2
