Name,Address,POINT_X,POINT_Y,Size
Meredith Park Community Garden,450 Nelson St,480944.8105,4758283.2093,0
South Branch Park Communiy Garden,2 Homan St,482334.8554,4758287.7615,0
Thames Park Community Garden,15 Ridout St,479381.3716,4758077.282,0
University Heights Park Community Garden,290 Trott Dr,477149.035,4760118.6719,0
Garden Plots Community Graden,552 Crestwood Dr,474782.4523,4755407.9654,0
Nicholas Wilson Park Community Garden,16 Fitzroy Pl,482417.8944,4754159.2178,0
Carling Heights Optimist Community Centre Community Garden,656 Elizabeth St,481217.8475,4760607.8572,0
City Wide Sports Park Community Garden,1510 Commissioners Rd E,485246.6647,4757042.3379,0
Thompson Ravine Community Garden,410 Scenic Dr,482909.1176,4757283.2048,0
Ann Street Park Community Garden,65 Ann St,478888.9463,4759926.1254,0
Blackfriars Park - North Community Garden,2 St Patrick St,478768.7518,4759853.8723,0
Berkshire Park Community Garden,510 Berkshire Dr,476748.8502,4756570.4072,0
River Forks Park Community Garden,17 Becher St,478869.3511,4758706.9011,0
Proudfoot Park - West Community Garden,693 Proudfoot Lane,476229.3271,4759614.8585,0
