Name,Address,POINT_X,POINT_Y,Size
Springbank Park Play Structure #1,1085 Commissioners Rd W,473386.8389,4756379.6706,0
Springbank Park Play Structure #2,1085 Commissioners Rd W,473400.7321,4756380.4596,0
Gibbons Park Play Structure #1,2A Grosvenor St,478631.725,4760729.1461,0
Gibbons Park Play Structure #2,2A Grosvenor St,478682.2732,4760737.9089,0
West Lions Park Play Structure #1,20 Granville St,478443.042,4759352.1706,0
Silverwoods Park Play Structure #1,50 Sycamore St,483190.5735,4758988.2571,0
Carling Park Play Structure #1,675 Grosvenor St,480840.3331,4761334.7011,0
McMahen Park Play Structure #1,640 Adelaide St N,480874.3333,4760455.4116,0
Kiwanis Park - North Play Structure #2,612 Hale St,484300.8372,4760273.2024,0
Kiwanis Park - North Play Structure #1,612 Hale St,484085.9492,4760337.8106,0
Rowntree Park Play Structure #1,750 Whetter Ave,481342.9064,4757076.1117,0
East Lions Park Play Structure #1,1731 Churchill Ave,485146.4517,4760479.7551,0
Smith Park Play Structure #1,194 Brampton Rd,480898.775,4761879.4136,0
Meredith Park Play Structure #1,450 Nelson St,481075.3375,4758243.6556,0
Doidge Park Play Structure #1,300 Cromwell St,479390.4448,4760971.5689,0
Murray Park Play Structure #1,75 Cliftonvale Ave,478248.0981,4757230.3483,0
Glen Cairn Park - North Play Structure #1,150 Helena Ave,482318.9701,4757133.0377,0
Mornington Park Play Structure #1,800 High Holborn St,482329.2971,4761344.9087,0
Jorgenson Park Play Structure #1,1308 Norman Ave,472685.417,4756067.4965,0
Duchess Avenue Park Play Structure #1,26 Duchess Ave,478766.8201,4757425.2972,0
Southcrest Park Play Structure #1,10 Hazelwood Ave,477336.9801,4756646.7957,0
University Heights Park Play Structure #1,290 Trott Dr,477137.931,4760169.1157,0
Stronach Park Play Structure #1,1221 Sanford St,483235.3204,4762962.9902,0
Winblest Park Play Structure #1,640 Winblest Ave,481248.5306,4754729.8035,0
Arthur Ford Park Play Structure #1,671 Viscount Rd,477955.0047,4755444.7386,0
Southeast Optimist Park Play Structure #1,237 Deveron Cres,484115.7258,4755930.8753,0
Wilton Grove Park Play Structure #1,41 Greenfield Dr,482003.5561,4752777.0227,0
Ebury Park Play Structure #1,112 Ebury Cres,482625.5923,4755044.0637,0
Berkshire Park Play Structure #1,510 Berkshire Dr,476626.7205,4756396.9849,0
Oak Park Play Structure #1,1207 Royal York Rd,473433.5708,4758237.1822,0
Village Green Park Play Structure #1,429 Village Green Ave,476804.5435,4755542.2669,0
St. Stephen's Park Play Structure #1,1030 Mitchel St,481801.0052,4753727.4079,0
Wellingsboro Park Play Structure #1,955 Willow Dr,481996.1426,4754074.6034,0
Thornwood Park Play Structure #1,699 Thornwood Dr,475943.0685,4758648.9636,0
Kensal Park Play Structure #1,150 Chelsea Ave,477203.7239,4757847.4136,0
Genevive Park Play Structure #1,70 Genevive Cres,482437.8596,4762461.7548,0
Belvedere Park Play Structure #1,65 Victor St,478955.5348,4758132.0801,0
Greenway Park Play Structure #1,50 Greenside Ave,476477.244,4757836.1909,0
Broughdale Park Play Structure #1,246 Epworth Ave,478820.6538,4762109.2283,0
