Name,Address,POINT_X,POINT_Y,Size
Gibbons Park Community Pool,2B Grosvenor St,478575.7392,4760731.0047,20
Silverwoods Park Community Pool,36 Sycamore St,483124.3794,4758998.2733,20
East Lions Park Community Pool,1731 Churchill Ave,485179.9949,4760534.7628,20
Oakridge Optimist Community Park Community Pool,825 Valetta St,475019.4239,4758216.9397,20
Byron Community Pool,1330 Brock Lane,472728.7303,4755859.3485,20
Southcrest Park Community Pool,10 Hazelwood Ave,477340.8345,4756690.3845,20
Stronach Park Community Pool,1221 Sandford Ave,483287.0998,4763024.7742,20
Westminster Optimist Park Community Pool,650 Osgoode Dr,483035.5702,4754438.783,20
Northeast Recreation Centre Community Pool,1050 Victoria Dr,481612.4586,4762323.6493,20
Northridge Community Pool,15 Mclean Dr,480816.8925,4764912.189,20
Thames Park Community Pool,25 Ridout St S,479360.1341,4758194.5378,20
Canada Games Aquatic Centre Community Pool - Indoor,1045 Wonderland Rd N,475321.0629,4761034.3715,20
Glen Cairn Arena Community Pool,370 Chippendale Cres,482832.9653,4756700.1388,20
Carling Heights Optimist Community Centre Community Pool - Indoor,656 Elizabeth St,481318.2512,4760629.0468,20
South London Community Pool - Indoor,565 Bradley Ave,481067.8799,4753454.1923,20
