Name,Address,POINT_X,POINT_Y,Size
Victoria Park Skateboard Park #1,580 Clarence St,479700.2611,4759628.4203,2
West Lions Park Skateboard Park #1,20 Granville St,478290.1842,4759345.7448,2
White Oaks Optimist Park Skateboard Park #1,560 Bradley Ave,481012.587,4753592.7899,2
Carling Heights Optimist Community Centre Skateboard Park #1,656 Elizabeth St,481147.1151,4760571.7259,2
Basil Grove Skateboard Park #1,555 Wharncliffe Rd S,478736.2762,4755955.3299,2
Naiomi Almeida Skateboard Park #1,828 Deveron Cres,484170.7407,4757224.6326,2
Kiwanis Park - Central North Skateboard Park #1,1475 Brydges St,484443.2898,4759960.4815,2
Stronach Park Skateboard Park #1,1221 Sanford St,483196.2074,4763151.5303,2
Medway Park Skateboard Park #1,1051 Wonderland Rd N,475307.352,4761197.1544,2
Stoney Creek Community Centre Skateboard Park #1,920 Sunningdale Rd E,479057.6511,4766183.4517,2
Springbank Park Skateboard Park #1,1205 Commissioners Rd W,473181.526,4756323.102,2
Constitution Park Skateboard Park #1,725 Grenfell Dr,479807.2968,4765175.9694,2
St. Julien Park Skateboard Park  #1,15 Tommy Hunter Way,483618.8462,4757958.58,2
