Name,Address,POINT_X,POINT_Y
Lucas Secondary School Tennis Court #2,656 Tennent Ave,479767.7416,4764501.4601
Banting Secondary School Tennis Court #2,125 Sherwood Forest Sq,475139.3182,4760994.3201
Central Secondary School Tennis Court #2,509 Waterloo St,479987.5916,4759630.3667
Clarke Road Secondary School Tennis Court #2,300 Clarke Rd,486053.7067,4760844.6875
Montcalm Secondary School Tennis Court #2,1350 Highbury Ave N,482458.4409,4763626.9724
Oakridge Secondary School Tennis Court #2,1040 Oxford St W,474354.8139,4758152.3552
Saunders Secondary School Tennis Court #3,941 Viscount Rd,476268.8867,4754730.5115
Laurier Secondary School Tennis Court #2,450 Millbank Dr,483149.0476,4754857.5282
Westminster Secondary School Tennis Court #2,230 Base Line Rd W,477269.2661,4756305.834
Saunders Secondary School Tennis Court #1,941 Viscount Rd,476235.8853,4754725.4986
Saunders Secondary School Tennis Court #2,941 Viscount Rd,476252.6577,4754728.0594
Saunders Secondary School Tennis Court #4,941 Viscount Rd,476286.1072,4754733.9605
Westminster Secondary School Tennis Court #1,230 Base Line Rd W,477254.7045,4756304.1467
Westminster Secondary School Tennis Court #3,230 Base Line Rd W,477283.5269,4756307.7412
Westminster Secondary School Tennis Court #4,230 Base Line Rd W,477298.3299,4756309.3641
Oakridge Secondary School Tennis Court #3,1040 Oxford St W,474342.2863,4758148.1649
Oakridge Secondary School Tennis Court #1,1040 Oxford St W,474367.473,4758157.1593
Banting Secondary School Tennis Court #3,125 Sherwood Forest Sq,475133.6334,4761007.3754
Banting Secondary School Tennis Court #1,125 Sherwood Forest Sq,475143.6735,4760980.8777
Lucas Secondary School Tennis Court #1,656 Tennent Ave,479753.3086,4764495.6675
Lucas Secondary School Tennis Court #3,656 Tennent Ave,479781.0682,4764507.2304
Lucas Secondary School Tennis Court #4,656 Tennent Ave,479793.2911,4764512.6026
Montcalm Secondary School Tennis Court #1,1350 Highbury Ave N,482446.0089,4763622.1388
Montcalm Secondary School Tennis Court #3,1350 Highbury Ave N,482470.8445,4763631.9921
Central Secondary School Tennis Court #1,509 Waterloo St,479975.1143,4759625.6612
Central Secondary School Tennis Court #3,509 Waterloo St,479999.895,4759634.9787
Clarke Road Secondary School Tennis Court #1,300 Clarke Rd,486039.6474,4760839.6798
Clarke Road Secondary School Tennis Court #3,300 Clarke Rd,486067.7572,4760850.2337
Laurier Secondary School Tennis Court #1,450 Millbank Dr,483135.8822,4754858.6396
Laurier Secondary School Tennis Court #3,450 Millbank Dr,483162.0923,4754856.9
Academie de la Tamise Tennis Court #1,1260 Dundas St,483215.2644,4760525.1078
Huron College Tennis Court #1,1349 Western Rd,477158.0886,4761727.9136
Kings College Tennis Court #3,1040 Waterloo St,479453.6745,4762207.2307
Kings College Tennis Court #4,1040 Waterloo St,479478.2483,4762184.89
Kings College Tennis Court #2,1040 Waterloo St,479429.1163,4762230.6885
Kings College Tennis Court #1,1040 Waterloo St,479426.104,4762224.6439
University of Western Ontario Tennis Court #7,Lambton Dr (pvt),477991.054,4761518.2591
University of Western Ontario Tennis Court #8,Lambton Dr (pvt),478005.1166,4761517.7847
University of Western Ontario Tennis Court #9,Lambton Dr (pvt),478018.741,4761517.409
University of Western Ontario Tennis Court #4,Lambton Dr (pvt),478002.5323,4761554.5012
University of Western Ontario Tennis Court #5,Lambton Dr (pvt),478014.3425,4761553.1446
University of Western Ontario Tennis Court #6,Lambton Dr (pvt),478027.0082,4761552.1164
University of Western Ontario Tennis Court #1,Lambton Dr (pvt),478012.5742,4761590.997
University of Western Ontario Tennis Court #3,Lambton Dr (pvt),478038.4977,4761588.677
University of Western Ontario Tennis Court #2,Lambton Dr (pvt),478024.7625,4761589.2947
W.D. Sutton Public School Tennis Court #2,1250 Dundas St,483201.7303,4760521.5817
W.D. Sutton Public School Tennis Court #1,1250 Dundas St,483189.1847,4760516.7659
Gibbons Park Tennis Court #2,2A Grosvenor St,478733.3007,4760932.7018
Gibbons Park Tennis Court #3,2A Grosvenor St,478719.0841,4760927.9001
Gibbons Park Tennis Court #1,2A Grosvenor St,478747.0229,4760935.28
Carling Park Tennis Court #3,675 Grosvenor St,480778.9147,4761353.2255
Carling Park Tennis Court #2,675 Grosvenor St,480766.0444,4761348.5011
Carling Park Tennis Court #1,675 Grosvenor St,480751.929,4761343.0827
Kiwanis Park - North Tennis Court #2,612 Hale St,484024.7306,4760389.7681
Kiwanis Park - North Tennis Court #1,612 Hale St,484010.6101,4760385.555
Rowntree Park Tennis Court #1, 750 Whetter Ave,481429.3895,4757075.9246
East Lions Park Tennis Court #2,1731 Churchill Ave,485221.9084,4760551.8973
East Lions Park Tennis Court #1,1731 Churchill Ave,485209.1144,4760547.0109
East Lions Park Tennis Court #3,1731 Churchill Ave,485234.6813,4760556.8251
Oakridge Optimist Community Park Tennis Court #2,825 Valetta St,474927.5823,4758158.7991
Oakridge Optimist Community Park Tennis Court #1,825 Valetta St,474938.683,4758168.1001
