Name,Address,POINT_X,POINT_Y
Labatt Park Washrooms #1,25 Wilson Ave,478849.2061,4759033.6579
Victoria Park Washrooms #1,580 Clarence St,479658.577,4759609.7805
Silverwoods Park Washrooms #1,36 Sycamore St,483132.5603,4758980.2572
Carling Park Washrooms #1,675 Grosvenor St,480888.0947,4761383.4198
McMahen Park Washrooms #1,640 Adelaide St N,480855.2269,4760518.2077
Kiwanis Park - North Washrooms #1,612 Hale St,484063.5022,4760279.2948
Rowntree Park Washrooms #1,750 Whetter Ave,481333.6422,4757057.5057
East Lions Park Washrooms #1,1731 Churchill Ave,485156.4992,4760534.1522
Smith Park Washrooms #1,194 Brampton Rd,480944.0607,4761879.4698
Oakridge Optimist Community Park Washrooms #1,825 Valetta St,474967.6259,4758145.6698
Meredith Park Washrooms #1,450 Nelson St,481046.5724,4758270.0277
Basil Grover Park Washrooms #1,555 Wharncliffe Rd S,478702.1524,4755917.3814
Murray Park Washrooms #1,75 Cliftonvale Ave,478224.3102,4757284.282
Jorgenson Park Washrooms #1,1308 Norman Ave,472702.404,4756016.707
Southcrest Park Washrooms #1,10 Hazelwood Ave,477360.2601,4756659.9366
University Heights Park Washrooms #1,290 Trott Dr,477174.0435,4760132.6006
Stronach Park Washrooms #1,1221 Sanford St,483370.5043,4763068.2316
Southeast Optimist Park Washrooms #1,237 Deveron Cres,484144.2577,4755870.4147
Greenway Park Washrooms #1,50 Greenside Ave,476437.4306,4757855.3406
Westminster Optimist Park Washrooms #1,  650 Osgoode Dr,483015.4115,4754435.3402
Northeast Recreation Centre Washrooms #1,1050 Victoria Dr,481635.0131,4762325.624
River Road Golf Course Washrooms #1,2215 River Rd,488582.8238,4758444.4974
North London Athletic Fields Washrooms #1,1225 Adelaide St N,479544.0425,4762822.3671
Southwest Optimist Park Washrooms #1,682 Southdale Rd W,475662.1466,4754089.9747
North London Optimist Community Centre Washrooms #1,1345 Cheapside St,482851.9729,4762385.459
Glanworth Park Washrooms #1,6536 Bradish Rd,484044.3052,4745844.5737
Ralph Hamlyn Park Washrooms #1,83 Dennis Ave,476635.9973,4750670.6471
Northridge Pool Washrooms #1,15 McLean Dr,480813.8501,4764928.2375
Thames Park Washrooms #1,25 Ridout St S,479378.2811,4758191.4932
Thames Park Washrooms #2,15 Ridout St S,479368.6107,4758133.7458
Ivey Park Washrooms #1,331 Thames St,479166.1407,4758781.9754
Lambeth Centennial Park Washrooms #1,7112 Beattie St,475141.5117,4750896.5003
Mckillop Park Washrooms #1,650 Riverside Dr,476204.3941,4757829.2233
Carling Heights Optimist Community Centre Washrooms #1,656 Elizabeth St,481328.6993,4760648.5515
Lambeth Optimist Park Washrooms #1,4200 Campbell St N,475951.9471,4751300.6793
Vauxhall Park Washrooms #1,54 Price St,483089.1618,4758057.0095
Windermere Fields Washrooms #1,733 Windermere Rd,479521.963,4763319.7624
Covent Market Plaza Washrooms #1,130 King St,479566.2781,4758902.1637
Bonaventure Meadows Park Washrooms #1,141 Bonaventure Dr,487276.8106,4761391.5221
Jesse Davidson Park Washrooms #1,731 Viscount Rd,477426.6746,4754814.1439
Springbank Park Washrooms #3,950 East Springbank Gate,474669.9562,4756196.1137
Civic Garden Centre Complex Washrooms #1,345 Wonderland Rd S,476041.6895,4756871.1011
Gibbons Park Washrooms #2,2A Grosvenor St,478347.1915,4760713.8743
Springbank Park Washrooms #4,285 Wonderland Rd S,475899.5967,4757041.6993
Springbank Park Washrooms #5,285 Wonderland Rd S,475914.6109,4757082.4045
Ed Blake Park Washrooms #1,449 Barker St,480904.1355,4762872.3594
Kiwanis Park Central North Washrooms #1,1475 Brydges St,484443.1202,4759994.0819
Springbank Park Washrooms #6,285 Wonderland Rd S,476013.5779,4757118.701
Springbank Park Washrooms #4,1116 Springbank Trail,473688.1721,4756289.4462
City Wide Sports Park  Washrooms #1,1510 Commissioners Rd W,485309.0124,4756993.0835
Meadowgate Park Washrooms #1,3155 Meadowgate Blvd,485974.4121,4755792.3349
Gibbons Park Washrooms #1,2B Grosvenor St,478561.1237,4760735.7139
West Lions Park Washrooms #1,20 Granville St,478369.9305,4759467.5258
Springbank Park Washrooms #2,1205 Commissioners Rd,473196.3047,4756377.5291
Stronach Park Washrooms #2,1221 Sanford St,483280.8104,4763057.1191
Gibbons Park Washrooms #3,2B Grosvenor St,478550.4345,4760740.4764
Oakridge Optimist Community Park Washrooms #2,825 Valetta St,475050.1761,4758208.7466
West Lions Park Washrooms #2,20 Granville St,478389.2451,4759438.0247
Jorgenson Park Washrooms #2,1308 Norman Ave,472692.4027,4756017.7389
Silverwoods Park Washrooms #2,36 Sycamore St,483149.4937,4758986.6072
Silverwoods Park Washrooms #3,36 Sycamore St,483207.4376,4759024.9719
Lambeth Centennial Park Washrooms #2,7112 Beattie St,475078.4404,4750923.0142
St. Julien Park Washrooms #1,15 Tommy Hunter Way,483584.1983,4757995.4937
