Name,Address,POINT_X,POINT_Y
Stronach Arena,1221 Sanford St,483250.7574,4763096.7994
Ray Lanctin / Medway Arena,119 Sherwood Forest Sq,475250.1133,4761143.2334
Carling Arena,675 Grosvenor St,480899.2919,4761398.9872
Glen Cairn Arena,370 Chippendale Cres,482821.2127,4756641.8528
Ice Park Arena,99 Brookside St,481497.4449,4757528.747
Lambeth Arena,7112 Beattie St,475119.2532,4750889.4037
Oakridge Arena,825 Valetta St,475081.46,4758224.05
Silverwood Arena,50 Sycamore St,483218.72,4759021.69
Western Fair Sports Centre,875 Florence St,482230.3916,4759546.3649
Thompson Arena,Western Rd & Philip Aziz Ave,477532.8605,4761190.2348
Argyle Arena,1948 Wavell St,486156.6009,4760814.2205
Budweiser Gardens,99 Dundas St,479413.1497,4758900.2423
Earl Nichols Arena,799 Homeview Rd,479345.6916,4754670.3457
Farquharson Arena,411 Tecumseh Ave E,480242.0227,4757439.0127
Kinsmen Arena,20 Granville St,478323.9966,4759431.4526
