Name,Address,POINT_X,POINT_Y
Kiwanis Seniors' Community Centre,78 Riverside Dr,478695.8466,4758908.5256
Lambeth Community Centre,7112 Beattie St,475083.2419,4750908.6097
South London Community Centre,1119 Jalna Blvd,481342.8827,4753267.9988
North London Optimist Community Centre,1345 Cheapside St,482817.4943,4762370.8398
Stronach Community Recreation Centre,1221 Sandford St,483260.6393,4763070.3971
Medway Community Centre,119 Sherwood Forest Sq,475242.0294,4761160.7399
Boyle Memorial Community Centre,530 Charlotte St,482185.3936,4760496.8442
Hamilton Road Seniors' Centre & Community Centre,525 Hamilton Rd,482455.4131,4758641.3706
Byron Optimist Community Centre,1306 Norman Ave,472703.904,4756001.0332
East Lions Artisans Centre,1731 Churchill Ave,485161.7198,4760518.9322
Springbank Gardens Community Centre,205 Wonderland Rd S,476012.5276,4757126.0445
Earl Nichols Recreation Centre,799 Homeview Rd,479350.0587,4754646.2634
Carling Heights Optimist Community Centre,656 Elizabeth Street,481349.1,4760658.6
Stoney Creek Community Centre,920 Sunningdale Rd E,479021.8173,4766213.1875
Kinsmen Recreation Centre,20 Granville St,478352.0717,4759470.7042
Civic Garden Complex,625 Springbank Dr,475784.3444,4756648.3387
