Name,Address,POINT_X,POINT_Y
Banting Secondary School Soccer Field #1,125 Sherwood Forest Sq,475221.3878,4760967.7023
Banting Secondary School Soccer Field #2,125 Sherwood Forest Sq,474935.3282,4761025.322
Banting Secondary School Soccer Field #3,125 Sherwood Forest Sq,474909.7491,4760916.7858
Brick Street Public School Soccer Field #1,393 Commissioners Rd W,476986.5737,4756029.4299
Byron Southwood Public School Soccer Field #2,1379 Lola St,472756.5152,4755497.0265
Sir Winston Churchill Public School Soccer Field #1,1837 Churchill Ave,485339.4579,4760687.7999
Clara Brenton Public School Soccer Field #2,1025 St Croix Ave,474205.7014,4758641.6511
Clarke Road Secondary School Soccer Field #2,300 Clarke Rd,486214.193,4760946.3168
A.E. Duffield Public School Soccer Field #1,6820 Duffield St,475631.752,4751244.0776
Emily Carr Public School Soccer Field #1,44 Hawthorne Rd,474478.7566,4761953.3028
Fairmont Public School Soccer Field #1,1040 Hamilton Rd,484808.605,4758405.8844
Kensal Park French Immersion Public School Soccer Field #1,328 Springbank Dr,477264.1846,4757405.0448
Kensal Park French Immersion Public School Soccer Field #2,328 Springbank Dr,477246.5199,4757429.9932
Knollwood Public School Soccer Field #1,70 Gammage St,481225.36,4761767.2978
Laurier Secondary School Soccer Field #1,450 Millbank Dr,483197.4636,4755079.1598
Lucas Secondary School Soccer Field #2,656 Tennent Ave,479777.9273,4764296.1472
Lucas Secondary School Soccer Field #1,656 Tennent Ave,479927.5372,4764361.2007
Sir John A. MacDonald Public School Soccer Field #1,1150 Landor St,482302.1875,4762182.8949
M.B. McEachren Public School Soccer Field #1,4402 Colonel Talbot Rd,475686.2168,4750615.4219
Monsignor Feeney Catholic Education Soccer Field #1,165 Elmwood Ave E,479532.6715,4757503.9413
Mountsfield Public School Soccer Field #1,8 Mountsfield Dr,480040.41,4756388.5075
Montcalm Secondary School Soccer Field #1,1350 Highbury Ave N,482525.4488,4763578.3314
Northridge Public School Soccer Field #1,25 Mclean Dr,480920.0961,4764807.2385
Oakridge Secondary School Soccer Field #1,1040 Oxford St W,474272.7509,4758130.37
Oakridge Secondary School Soccer Field #2,1040 Oxford St W,474217.9992,4758243.638
Oakridge Secondary School Soccer Field #3,1040 Oxford St W,474260.8135,4758261.053
Eagle Heights Public School School Soccer Field #3,284 Oxford St W,477673.3567,4759266.7651
Eagle Heights Public School School Soccer Field #2,284 Oxford St W,477620.6986,4759266.7336
Eagle Heights Public School School Soccer Field #1,284 Oxford St W,477605.8116,4759306.7979
Prince Charles Public School Soccer Field #2,1601 Wavell St,484756.513,4760021.351
Prince Charles Public School Soccer Field #1,1601 Wavell St,484732.7077,4760076.6511
Princess Anne French Immersion Public School Soccer Field #1,191 Dawn Dr,485184.4117,4759848.1068
Regina Mundi Secondary School Soccer Field #1,5250 Wellington Rd S,483660.8278,4749314.1605
Regina Mundi Secondary School Soccer Field #2,5250 Wellington Rd S,483529.0453,4749315.8686
Sir George Ross Secondary School Soccer Field #1,365 Belfield St,480230.6441,4762749.3222
Sir Arthur Carty Separate School Soccer Field #1,1655 Ernest Ave,480400.1217,4753907.2775
Sir Isaac Brock Public School Soccer Field #1,80 St Lawrence Blvd,478701.8424,4754577.0851
St. Marguerite d'Youville Separate School Soccer Field #1,170 Hawthorne Rd,473786.5979,4761672.9417
St. Thomas Aquinas Secondary School Soccer Field #1,1360 Oxford St W,472704.8807,4757583.1983
Stoneybrook Public School Soccer Field #1,1460 Stoneybrook Cres,478591.2076,4763971.5835
Thames Secondary School Soccer Field #1,785 Trafalgar St,482229.3649,4758272.7252
University Heights Public School Soccer Field #1,27 Ford Cres,477393.0521,4760634.7192
Westdale Park Soccer Field #2 - Mini,1070 Quinton Rd,474436.367,4757838.7678
Westdale Park Soccer Field #1 - Mini,1070 Quinton Rd,474388.6058,4757843.2644
Westminster Secondary School Soccer Field #3,230 Base Line Rd W,477395.8233,4756496.9901
Westminster Secondary School Soccer Field #1,230 Base Line Rd W,477347.0263,4756417.9688
Saunders Secondary School Soccer Field #1,941 Viscount Rd,476272.7679,4754656.0526
G.A. Wheable Secondary School Soccer Field #2,70 Jacqueline St,482183.6221,4757485.2195
G.A. Wheable Secondary School Soccer Field #1,70 Jacqueline St,482128.3486,4757604.4452
Woodland Heights Public School Soccer Field #1,474 Springbank Dr,476559.9056,4756914.1736
Arthur Ford Public School Soccer Field #1,617 Viscount Rd,477975.1295,4755578.0182
Arthur Stringer Public School Soccer Field #1,43 Shaftesbury Ave,483077.6713,4755044.8508
Beal Secondary School Soccer Field #1,475 King St,480862.2581,4759252.0173
Bishop Townshend Public School Soccer Field #1,814 Quebec St,481817.3138,4761159.2048
Blessed Kateri Separate School Soccer Field #1,220 Sunnyside Dr,478544.6791,4763571.0787
Bonaventure Meadows Public School Soccer Field #1,141 Bonaventure Dr,487261.49,4761344.669
Byron Northview Public School Soccer Field #1,1370 Commissioners Rd W,472427.4314,4756444.4432
Byron Southwood Public School Soccer Field #1,1379 Lola St,472874.5802,4755462.7575
C.C. Carrothers Public School Soccer Field #1,360 Chippendale Cres,482973.8314,4756722.1822
Catholic Central Secondary School Soccer Field #1,439 Queens Ave,480590.768,4759497.6568
Chippewa Public School Soccer Field #1,1035 Chippewa Dr,484025.6013,4763835.9418
Clara Brenton Public School Soccer Field #3,1025 St Croix Ave,474200.3086,4758663.1926
Clara Brenton Public School Soccer Field #1,1025 St Croix Ave,474211.8083,4758619.7596
Clarke Road Secondary School Soccer Field #1,300 Clarke Rd,486216.6453,4760871.2537
