Name,Address,POINT_X,POINT_Y
Springbank Park Wading Pool,1085 Commissioners Rd W,473418.5924,4756355.4692
Gibbons Park - Spray Pad,2B Grosvenor St,478658.8296,4760707.4741
West Lions Park Spray Pad,20 Granville St,478439.7475,4759380.4309
Silverwoods Park Wading Pool,50 Sycamore St,483167.1393,4758994.3326
McMahen Park Wading Pool,640 Adelaide St N,480901.7504,4760484.586
Kiwanis Park Spray Pad,612 Hale St,484044.9008,4760297.0835
Rowntree Park Spray Pad,750 Whetter Ave,481305.5353,4757072.3148
East Lions Park Wading Pool,1731 Churchill Ave,485132.1546,4760505.963
Smith Park Wading Pool,194 Brampton Rd,480907.928,4761922.2044
Meredith Park Wading Pool,450 Nelson St,481035.9611,4758262.3239
Murray Park Wading Pool,75 Cliftonvale Ave,478240.6958,4757282.2795
Jorgenson Park Wading Pool,1308 Norman Ave,472683.9196,4756043.1479
Southcrest Park Wading Pool,10 Hazelwood Ave,477363.851,4756681.4677
University Heights Park Wading Pool,290 Trott Dr,477148.2731,4760144.8432
Northeast Recreation Centre Wading Pool,1050 Victoria Dr,481623.7499,4762309.7594
White Oaks Park Wading Pool,1119 Jalna Blvd,481316.3392,4753257.8555
Jesse Davidson Park Spray Pad,731 Viscount Rd,477389.7368,4754771.2868
Northridge Pool  Wading Pool,15 Mclean Dr,480792.285,4764917.8409
Ivey Park Spray Pad,331 Thames St,479145.9912,4758803.5712
Lambeth Centennial Park Spray Pad,7112 Beattie St,475141.5142,4750768.3568
Bonaventure Meadows Park Spray Pad,141 Bonaventure Dr,487352.5308,4761367.4666
Southeast Optimist Park- Spray Pad,237 Deveron Cres,484104.8656,4755956.5899
Ed Blake Park - Spray Pad,449 Barker St,480932.5061,4762914.6372
Medway Park - Spray Pad,1051 Wonderland Rd N,475304.0375,4761126.3075
Oakridge Optimist Park - Spray Pad,825 Valetta St,474980.7295,4758128.6072
Meadowgate Park - Spray Pad,3155 Meadowgate Blvd,485963.5641,4755795.113
