Name,Address,POINT_X,POINT_Y
Springbank Park Swing Set #1,1085 Commissioners Rd W,473048.6725,4756549.5545
Springbank Park Swing Set #2,1085 Commissioners Rd W,473332.3468,4756403.0673
Springbank Park Swing Set #3,1085 Commissioners Rd W,473374.5977,4756375.9706
Gibbons Park Swing Set #1,2A Grosvenor St,478639.962,4760741.6423
West Lions Park Swing Set #1,20 Granville St,478434.4514,4759413.1099
West Lions Park Swing Set #2,20 Granville St,478445.6246,4759324.0217
McMahen Park Swing Set #1,640 Adelaide St N,480870.8865,4760460.6802
Kiwanis Park - North Swing Set #3,612 Hale St,484286.5238,4760274.0432
Kiwanis Park - North Swing Set #1,612 Hale St,484120.556,4760332.2195
Kiwanis Park - North Swing Set #2,612 Hale St,484142.4264,4760293.4201
Kiwanis Park - North Swing Set #4,612 Hale St,484307.3212,4760257.3259
Rowntree Park Swing Set #1,750 Whetter Ave,481315.1492,4757092.5804
Rowntree Park Swing Set #2,750 Whetter Ave,481326.3488,4757084.1488
East Lions Park Swing Set #1,1731 Churchill Ave,485171.5337,4760455.1849
Smith Park Swing Set #1,194 Brampton Rd,480902.9987,4761874.9653
Oakridge Optimist Community Park Swing Set #1,825 Valetta St,474982.1187,4758192.5703
Meredith Park Swing Set #1,450 Nelson St,481068.6878,4758240.2524
Basil Grover Park Swing Set #1,555 Wharncliffe Rd S,478730.294,4755855.5919
Doidge Park Swing Set #1,300 Cromwell St,479373.5882,4760963.8765
Murray Park Swing Set #1,75 Cliftonvale Ave,478225.7888,4757225.2825
Jorgenson Park Swing Set #1,1308 Norman Ave,472701.8767,4756075.4473
Colville Park Swing Set #1,360 Colville Blvd,473177.2719,4755913.555
Duchess Avenue Park Swing Set #1,26 Duchess Ave,478760.796,4757424.2215
University Heights Park Swing Set #1,290 Trott Dr,477161.6601,4760165.657
Stronach Park Swing Set #1,1221 Sanford St,483214.2928,4762962.7564
Winblest Park Swing Set #1,640 Winblest Ave,481253.6037,4754736.6346
Arthur Ford Park Swing Set #1,671 Viscount Rd,477960.3149,4755448.5907
Southeast Optimist Park Swing Set #1,237 Deveron Cres,484122.1246,4755932.435
Wilton Grove Park Swing Set #1,41 Greenfield Dr,482017.3722,4752778.3568
Ebury Park Swing Set #1,112 Ebury Cres,482623.8796,4755050.8715
Berkshire Park Swing Set #1,510 Berkshire Dr,476634.244,4756394.5181
Oak Park Swing Set #1,1207 Royal York Rd,473440.3806,4758234.8538
Village Green Park Swing Set #1,429 Village Green Ave,476802.6667,4755550.3271
Thornwood Park Swing Set #1,699 Thornwood Dr,475947.919,4758645.1664
Kensal Park Swing Set #1,150 Chelsea Ave,477198.4911,4757843.1507
Fanshawe Optimist Little League Park Swing Set #1,65 Tweed Cres,480848.2293,4765340.8045
Genevive Park Swing Set #1,70 Genevive Cres,482453.1363,4762466.36
Belvedere Park Swing Set #1,65 Victor St,478959.5421,4758126.8138
Greenway Park Swing Set #1,50 Greenside Ave,476479.2926,4757843.0053
Peppertree Park Swing Set #1,427A Castlegrove Blvd,476095.2336,4760117.2638
Broughdale Park Swing Set #1,246 Epworth Ave,478820.7058,4762102.6481
St. Lawrence Park Swing Set #1,5 St. Lawrence Blvd,478412.8191,4754869.9909
Westminster Optimist Park Swing Set #1,650 Osgoode Dr,483074.6187,4754462.2723
Mitches Park Swing Set #1,640 Upper Queen St,480502.2248,4755220.1678
Constitution Park Swing Set #1,725 Grenfell Dr,479816.2685,4765262.3812
Huron Heights Park Swing Set #1,185 McNay St,481863.6878,4762119.1891
CNRA Park Swing Set #1,325 Egerton St,482321.0504,4759090.023
White Oaks Park Swing Set #1,1119 Jalna Blvd,481053.1679,4753161.4718
White Oaks Park Swing Set #3,1119 Jalna Blvd,481326.1974,4753189.1969
White Oaks Park Swing Set #4,1119 Jalna Blvd,481344.1251,4753183.0343
White Oaks Park Swing Set #2,1119 Jalna Blvd,481045.5154,4753143.8172
Culver Park Swing Set #1,1735 Culver Dr,485125.0657,4761927.2895
Somerset Woods Swing Set #1,25 Fourwinds Rd,473690.6834,4754515.1616
Farnsborough Park Swing Set #1,1071 Farnsborough Cres,483913.6478,4762663.9901
Gainsborough Meadows Swing Set #1,102 Brandy Lane Rd,474349.7846,4760736.3285
Hazelden Park Swing Set #1,430 Hyde Park Rd,474198.1307,4757129.537
Flanders Park Swing Set #1,145 Rhine Ave,482684.4044,4761934.2563
Ed Blake Park Swing Set #1,449 Barker St,480866.9043,4762907.0838
Boyle Community Centre / Park Swing Set #2,530 Charlotte St,482221.0036,4760449.218
Boyle Community Centre / Park Swing Set #1,530 Charlotte St,482242.4447,4760508.8831
Ashley Oaks Park Swing Set #1,65 Elvira Cres,480334.5671,4753961.5188
White Oaks optimist Park Swing Set #1,560 Bradley Ave,480989.9795,4753709.5167
Chesham Heights Park Swing Set #1,328 Castlegrove Blvd,476600.8077,4760289.013
Lynngate Grove Park Swing Set #1,69 Lynngate Grove,475661.7547,4755149.9687
Piccadilly Park Swing Set #1,695 Waterloo St,479664.641,4760197.4372
Dunkirk Place Park Swing Set #1,15 Dunkirk Pl,479426.6934,4756815.0311
Naiomi Almeida Park Swing Set #1,828 Deveron Cres,484164.8664,4757173.3553
Jesse Davidson Park Swing Set #1,731 Viscount Rd,477264.8958,4754776.6617
Jesse Davidson Park Swing Set #2,731 Viscount Rd,477349.0613,4754588.1702
Huronview Park Swing Set #1,1345 Bentley Dr,483145.6259,4763668.1558
Southwinds Park Swing Set #1,3982 West Graham Pl,473905.7828,4751723.0961
Cresthaven Park Swing Set #1,104 Parks Edge Cres,474830.9242,4754921.4885
Glanworth Park Swing Set #1,6536 Bradish Rd,484064.1916,4745847.1975
Cheswick Park Swing Set #1,88 Lacey Cres,480469.9701,4752974.5125
Norwest Optimist Park Swing Set #2,48 Hawthorne Rd,474391.7326,4761831.4061
Norwest Optimist Park Swing Set #3,48 Hawthorne Rd,474389.7107,4761841.8321
Norwest Optimist Park Swing Set #1,48 Hawthorne Rd,474273.6719,4761978.6777
Jaycee Park Swing Set #1,1830 Aldersbrook Rd,474033.9892,4762468.4791
Jaycee Park Swing Set #2,1830 Aldersbrook Rd,474171.1508,4762322.2628
Empress Avenue Park Swing Set #1,161 Empress Ave,478151.5431,4759653.897
Past Presidents Park Swing Set #1,280 Millbank Dr,482992.2377,4755480.8237
River Forks Park Swing Set #1,17 Becher St,478830.3038,4758673.4856
Nelson Park Swing Set #1,142 Kipling Ave,486913.6608,4760675.4486
Ralph Hamlyn Park Swing Set #1,83 Dennis Ave,476584.8117,4750639.73
Ambleside Park Swing Set #1,257 Ambleside Dr,476172.7029,4762797.6596
Cayuga Park Swing Set #1,64 Cayuga Cres,484154.9915,4764323.6498
Nicholas Wilson Park Swing Set #1,16 Fitzroy Pl,482396.0622,4754118.3207
Heritage Park Swing Set #1,150 Bexhill Dr,483719.7386,4754411.2634
Thames Park Swing Set #1,15 Ridout St S,479412.16,4758153.2157
St. Julien Park Swing Set #1,15 Tommy Hunter Way,483772.1882,4758091.419
Ivey Park Swing Set #1,331 Thames St,479102.2334,4758786.1068
Lambeth Centennial Park Swing Set #1,7112 Beattie St,475163.8941,4750791.4199
Helen Mott Shaw Park Swing Set #1,71 Grasmere Cres,476772.4019,4762931.2762
Carling Heights Optimist Community Centre Swing Set #1,656 Elizabeth St,481264.8563,4760649.3703
Highland Woods Swing Set #1,324 Highview Ave E,479209.0749,4755262.0527
Vauxhall Park Swing Set #1,54 Price St,483077.0172,4758029.0995
Virginia Park Swing Set #1,225 Chambers Ave,478274.4717,4764912.9757
Summercrest Park Swing Set #1,30 Alomar Dr,472557.4989,4753950.6873
Meander Creek Park Swing Set #1,905 Blackmaple Crt,481077.521,4763875.8109
Cavendish Park Swing Set #1,136 Cavendish Cres,478185.3368,4758807.5557
Thamesridge Park Swing Set #1,1605 Shore Rd,471218.7571,4757514.8358
Cheltenham Park Swing Set #1,43 Cheltenham Rd,473244.8922,4759007.7203
Cantebury Park Swing Set #1,99 Prince Of Wales Gate,472979.4571,4760124.73
Dalkeith Park Swing Set #1,806 Dalkeith Ave,480403.3721,4764915.3616
Plane Tree Park Swing Set #1,214 Plane Tree Dr,476115.282,4764091.3935
Carroll Park Swing Set #1,270 Ellerslie Rd,485452.4283,4756531.1141
Northbrook Park Swing Set #1,2135 Blackwater Rd,478494.2924,4765584.869
